Type_of_Answer;Question_Level;Topic;Subtopic
0;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
0;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
1;Basic;Statistics;Statistics
0;Basic;Differentiation;Derivatives
0;Basic;Differentiation;Derivatives
0;Basic;Differentiation;Derivatives
0;Basic;Differentiation;Derivatives
0;Basic;Differentiation;Derivatives
0;Basic;Differentiation;Derivatives
0;Basic;Differentiation;Derivatives
0;Basic;Differentiation;Derivatives
0;Basic;Differentiation;Derivatives
1;Basic;Real Functions of a single variable;Domain, Image and Graphics
1;Basic;Real Functions of a single variable;Domain, Image and Graphics
0;Basic;Real Functions of a single variable;Domain, Image and Graphics
1;Basic;Real Functions of a single variable;Domain, Image and Graphics
1;Basic;Real Functions of a single variable;Domain, Image and Graphics
0;Basic;Real Functions of a single variable;Domain, Image and Graphics
0;Basic;Real Functions of a single variable;Domain, Image and Graphics
0;Basic;Real Functions of a single variable;Domain, Image and Graphics
1;Basic;Real Functions of a single variable;Domain, Image and Graphics
1;Basic;Real Functions of a single variable;Limits and Continuity
0;Basic;Real Functions of a single variable;Domain, Image and Graphics
0;Basic;Real Functions of a single variable;Limits and Continuity
0;Basic;Real Functions of a single variable;Limits and Continuity
1;Advanced;Real Functions of a single variable;Domain, Image and Graphics
0;Advanced;Real Functions of a single variable;Limits and Continuity
1;Advanced;Real Functions of a single variable;Limits and Continuity
0;Advanced;Real Functions of a single variable;Limits and Continuity
0;Advanced;Real Functions of a single variable;Limits and Continuity
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
0;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
1;Basic;Linear Algebra;Linear Systems
0;Basic;Differentiation;Derivatives
0;Basic;Differentiation;Derivatives
1;Basic;Differentiation;Derivatives
0;Basic;Differentiation;Derivatives
1;Basic;Differentiation;Derivatives
1;Basic;Differentiation;Derivatives
1;Basic;Differentiation;Derivatives
